	sample_uid	B_cell	fraction_b_cells
0	TBd1_frozen_BMa	True	0.530417495029821
1	TBd1_frozen_BMa	False	0.46958250497017895
2	TBd1_frozen_PBa	True	0.8314159920465843
3	TBd1_frozen_PBa	False	0.16858400795341572
4	TBd1_frozen_PBb	True	0.7847533632286996
5	TBd1_frozen_PBb	False	0.21524663677130046
6	TBd2_frozen_PB1	True	0.8405084050840509
7	TBd2_frozen_PB1	False	0.15949159491594916
8	TBd2_frozen_PB2	True	0.8833557649170032
9	TBd2_frozen_PB2	False	0.11664423508299686
10	TBd3_fresh_P6	True	0.983160157649588
11	TBd3_fresh_P6	False	0.01683984235041204
12	TBd3_fresh_P50	True	0.9528678890456042
13	TBd3_fresh_P50	False	0.047132110954395866
14	TBd3_frozen_PBa	True	0.7184890656063618
15	TBd3_frozen_PBa	False	0.28151093439363817
16	TBd3_frozen_PBb	True	0.7524761726780042
17	TBd3_frozen_PBb	False	0.24752382732199588
18	TBd4_frozen_PBa	True	0.7098092643051771
19	TBd4_frozen_PBa	False	0.2901907356948229
20	TBd4_frozen_PBb	True	0.721792392005158
21	TBd4_frozen_PBb	False	0.278207607994842
22	TBd6_fresh_PBMC	True	0.9915573770491803
23	TBd6_fresh_PBMC	False	0.008442622950819672
